heaviest queen weight,row location of heaviest queen,col location of heaviest queen,lightest queen weight,row location of lightest queen,col location of lightest queen,initial conflicts,n,average value including 0,lightest in conflict,heaviest in conflict,average in conflict,smallest d in conflict,smallest row d in conflict,smallest d in conflict,largest d in conflict,largest row d in conflict,largest d in conflict,average d in conflict
4,1,1,1,0,0,6,4,0.6875,2,4,3,1.414213562,-1,-1,4.242640687,-3,-3,2.357022604
4,0,2,1,1,0,0,4,0.6875,0,0,0,0,0,0,0,0,0,0
8,3,3,4,1,2,1,4,1.4375,4,4,4,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
8,1,3,4,3,2,0,4,1.4375,0,0,0,0,0,0,0,0,0,0
8,1,1,2,0,3,3,4,1,2,4,2.666666667,1.414213562,-1,-1,4.242640687,-3,3,3.299831646
8,0,1,2,1,3,0,4,1,0,0,0,0,0,0,0,0,0,0
6,3,1,4,0,2,6,4,1.25,4,6,5.166666667,1.414213562,-1,-1,2.828427125,-2,2,2.357022604
6,3,1,4,0,2,0,4,1.25,0,0,0,0,0,0,0,0,0,0
8,3,3,2,1,1,7,4,1,2,8,3.428571429,1.414213562,-1,1,2.828427125,-2,2,2.020305089
8,2,3,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
7,2,1,1,1,0,1,4,1,7,7,7,1.414213562,-1,-1,1.414213562,-1,-1,1.414213562
7,3,1,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
8,0,1,1,1,3,2,4,0.8125,1,1,1,1.414213562,-1,1,1.414213562,-1,1,1.414213562
8,0,1,1,1,3,0,4,0.8125,0,0,0,0,0,0,0,0,0,0
5,1,1,1,0,2,2,4,0.6875,1,5,3,1.414213562,-1,1,1.414213562,-1,1,1.414213562
